surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	CO2	0.0	[2345.043704, 1304.516933, 627.332803, 627.223381, 6.224812, 2.826199]	sv_calc
None	gas	CO	0.53	[1993.435752, 232.820271, 232.021371]	sv_calc
None	gas	H2	0.0	[4365.781307, 90.625081, 62.147748]	sv_calc
None	gas	H2O	0.0	[3823.236815, 3714.548821, 1601.953121, 117.831391, 81.112955, 51.646198]	sv_calc
CoNCC	graphene	CO	-0.76	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
CoNNC	graphene	CO	-1.04	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
CoNNCC	graphene	CO	-0.65	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
CoNNNCC	graphene	CO	71.81	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
CoNNNNCC	graphene	CO	0.04	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
FeNCC	graphene	CO	-0.41	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
FeNNC	graphene	CO	-1.63	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
FeNNCC	graphene	CO	-0.46	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
FeNNNCC	graphene	CO	-0.73	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
FeCC	graphene	CO	-1.63	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
FeNNNNCC	graphene	CO	-0.38	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
NiNC	graphene	CO	-0.36	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
NiNCC	graphene	CO	1.32	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
NiNNC	graphene	CO	-1.16	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
NiNNCC	graphene	CO	0.29	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
NiNNNC	graphene	CO	-2.68	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
NiNNNCC	graphene	CO	0.54	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
NiNNNNCC	graphene	CO	0.44	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
VNCC	graphene	CO	-1.39	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
VNNC	graphene	CO	-1.52	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
VNNCC	graphene	CO	-1.34	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
VNNNCC	graphene	CO	-0.91	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
