surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	CO2	0.0	[2345.043704, 1304.516933, 627.332803, 627.223381, 6.224812, 2.826199]	sv_calc
None	gas	CO	0.53	[1993.435752, 232.820271, 232.021371]	sv_calc
None	gas	H2	0.0	[4365.781307, 90.625081, 62.147748]	sv_calc
None	gas	H2O	0.0	[3823.236815, 3714.548821, 1601.953121, 117.831391, 81.112955, 51.646198]	sv_calc
CoNNC	graphene	CO	-0.58	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
CoNNCC	graphene	CO	-0.18	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
CoNNNNCC	graphene	CO	0.29	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
CrNCC	graphene	CO	-0.13	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
CrNNC	graphene	CO	0.44	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
CrNNCC	graphene	CO	-0.18	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
CrNNNC	graphene	CO	0.5	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
CrNNNCC	graphene	CO	0.08	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
CrNNNNCC	graphene	CO	0.67	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
MnNCC	graphene	CO	0.46	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
MnNNCC	graphene	CO	0.79	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
MnNNNNCC	graphene	CO	0.53	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
RhNCC	graphene	CO	-0.91	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
RhNNC	graphene	CO	-1.16	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
RhNNCC	graphene	CO	-0.97	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
RhNNNCC	graphene	CO	-0.77	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
RhNNNNCC	graphene	CO	0.24	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
RuNCC	graphene	CO	-0.88	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
RuNNC	graphene	CO	-1.56	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
RuNNCC	graphene	CO	-1.8	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
RuNNNCC	graphene	CO	-1.74	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
VNCC	graphene	CO	-0.76	[1832.373539, 481.555294, 467.482512, 425.061714, 73.09318, 68.233697]	sv_calc
